Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_1_Severity,Symptom_2_Severity,Symptom_3_Severity,Symptom_4_Severity,Symptom_5_Severity,Symptom_6_Severity,Symptom_7_Severity,Symptom_8_Severity,Symptom_9_Severity,Symptom_10_Severity,Symptom_11_Severity,Symptom_12_Severity,Symptom_13_Severity,Symptom_14_Severity,Symptom_15_Severity,Symptom_16_Severity,Symptom_17_Severity,Total Severity
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16
